BC_MASTER_ID,OBJECT_ID,SOURCE_ID,BILLER_ID,VALID_UNTIL,VALIDATION_ID,BILLER_REFERENCE_NO,BILLFETCH_PARAMS,PAYMENT_ID,SOURCE_REF_NO,BBPS_REF_NO,TXN_DATE_TIME,POSTING_ID,POSTING_DATE,STATUS,RETRY_COUNT,BILLER_RETRY,CREATED_AT,UPDATED_AT,CREATED_BY,UPDATED_BY,BOU_REQ_RESP_ID,VALIDATION_DATE,TRACE_ID,BILLER_CONNECT_RETRY,REQ_BD_TIMESTAMP,BILL_DATE,BILL_DUE_DATE,BC_ERROR_CODE,BC_ERROR_MESSAGE,VENDOR_RRN,AUTH1,AUTH2,AUTH3,AUTH4,VENDOR_REF_ID,SUB_DIV_NAME,BILL_AMOUNT,BOU_CONV_FEES,COU_CONV_FEES,MODE_OF_PAYMENT,BILLER_REQUEST_TYPE,OUID
1,A23456,A23456,COMM00000TELQ2,2025-06-26 11:42:56,,1,,,,UNH747T7HS7EL4ZA0P2R,,,2025-06-18 16:33:56.381025,SUCCESS,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,715200,0,0,Internet Banking,,
2,A23456,A23456,INDI00000NAT26,2025-06-26 11:42:56,,2,,,,ZP7UQ3SNGAN2RPZKU58L,,,2025-06-18 16:33:56.381025,FAILURE,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,816156,0,0,Internet Banking,,
3,A23456,A23456,HATHWAY00NAT01,2025-06-26 11:42:56,,3,,,,R6RT93T88VWF62C5T7GL,,,2025-06-18 16:33:56.381025,PENDING,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,67650,0,0,Credit Card,,
4,A23456,A23456,MPPK00000MAP01,2025-06-26 11:42:56,,4,,,,YSAFQL34U9HKV2TGQDLF,,,2025-06-18 16:33:56.381025,SUCCESS,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,990462,0,0,Credit Card,,
5,A23456,A23456,HDFC00000NATW1,2025-06-26 11:42:56,,5,,,,Y44H27NV57Z74GRIUBNT,,,2025-06-18 16:33:56.381025,SUCCESS,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,906094,0,0,UPI,,
6,A23456,A23456,HDFC00000NATW1,2025-06-26 11:42:56,,6,,,,TK7UMD5WG354636QLNAQ,,,2025-06-18 16:33:56.381025,SUCCESS,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,99340,0,0,Credit Card,,
7,A23456,A23456,NESCO0000ODI01,2025-06-26 11:42:56,,7,,,,X4MJZTC3Z7QTVNBGQZ4G,,,2025-06-18 16:33:56.381025,SUCCESS,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,888982,0,0,Credit Card,,
8,A23456,A23456,CNHI00000NATNZ,2025-06-26 11:42:56,,8,,,,VP2DD8HTLAD72V04UK7I,,,2025-06-18 16:33:56.381025,SUCCESS,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,382707,0,0,UPI,,
9,A23456,A23456,WESCO0000ODI01,2025-06-26 11:42:56,,9,,,,A9DQ5UX2KBAVYK2FPZGK,,,2025-06-18 16:33:56.381025,SUCCESS,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,14972,0,0,Credit Card,,
10,A23456,A23456,CNHI00000NATNZ,2025-06-26 11:42:56,,10,,,,SMORASTET3KKM8UOA9DY,,,2025-06-18 16:33:56.381025,FAILURE,1,0,2025-06-26 11:42:56,2025-06-26 11:42:56,A23456,A23456,123456,,A23456,0,25-AUG-24 07.30.54.000000000 PM,,,,,,,,A23456,,,,138685,0,0,Credit Card,,
